apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['org.runnerup.free_21000340', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.paladyn.mediclog_21', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.curiana.recipes_5', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([22, 0, 22], [42, 38, 0, 4]), [1, 1, 0], [0, 0]]
['org.epstudios.epmobile_85', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.faltenreich.diaguard_62', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.bloosberg.basti.childresuscalc_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.secuso.privacyfriendlyactivitytracker_16', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.nucleus.foss_warn_32', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([41, 4, 37], [151, 134, 1, 16]), [2, 0, 1], [0, 0]]
['m.co.rh.id.a_medic_log_22', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['io.librehealth.toolkit.cost_of_care_3', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([31, 4, 27], [113, 101, 1, 11]), [2, 0, 1], [0, 0]]
['com.zell_mbc.medilog_5466', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([70, 7, 63], [164, 158, 0, 6]), [2, 0, 2], [0, 0]]
['fr.cap_rel.fr.sagc_plongee.fr.nitroxCalc_6008', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['rocks.poopjournal.fucksgiven_7', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['de.wger.flutter_49', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([47, 9, 38], [217, 180, 1, 36]), [6, 1, 1], [0, 0]]
['io.open_biking_24', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([25, 0, 25], [50, 41, 0, 9]), [1, 1, 1], [0, 0]]
['st.wow.git.hrm_3', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([24, 24, 0], [81, 70, 1, 10]), [1, 1, 0], [0, 0]]
['de.quantumphysique.trale_233', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([42, 4, 38], [152, 135, 1, 16]), [2, 0, 1], [0, 0]]
['org.secuso.privacyfriendlycircuittraining_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.zerodogg.migraineLog_761', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([41, 4, 37], [152, 135, 1, 16]), [2, 0, 1], [0, 0]]
['com.enjoyingfoss.om_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
