apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['com.marv42.ebt.newnote_7900', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([12, 4, 8], [33, 32, 0, 1]), [4, 2, 2], [0, 0]]
['com.money.manager.ex_1066', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([62, 7, 55], [140, 135, 0, 5]), [1, 0, 1], [0, 0]]
['com.spencerpages_31', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.xvzan.simplemoneytracker_20240126', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([581, 428, 153], [1837, 1805, 0, 32]), [1, 1, 1], [0, 0]]
['hashengineering.groestlcoin.wallet_100701', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([4, 4, 0], [13, 11, 0, 2]), [1, 0, 1], [0, 0]]
['de.php_tech.piggybudget_25', 1, [1, 1, 1, 1, 1, 0, 0, 0], 0, ([188, 109, 79], [463, 393, 0, 70]), [12, 0, 5], [0, 0]]
['xyz.hisname.fireflyiii_112', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.alaindonesia.silectric_1220161217', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.coinerella.peercoin_143', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([41, 4, 37], [151, 134, 1, 16]), [3, 0, 1], [0, 0]]
['eu.uwot.fabio.altcoinprices_81', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.dbauer.expensetracker_31', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([24, 16, 8], [70, 69, 0, 1]), [3, 2, 1], [0, 0]]
['finance.valet_105', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([202, 196, 6], [544, 529, 0, 15]), [2, 2, 0], [0, 0]]
['net.taler.cashier_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.github.emavgl.piggybankpro_6071004', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([41, 4, 37], [151, 134, 1, 16]), [2, 0, 1], [0, 0]]
['ua.com.radiokot.lnaddr2invoice_7', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([96, 24, 72], [163, 70, 4, 89]), [0, 0, 0], [0, 0]]
['com.greenaddress.greenbits_android_wallet_22000443', 1, [1, 1, 0, 0, 0, 0, 0, 0], 0, ([939, 804, 135], [3364, 2541, 0, 823]), [7, 4, 3], [0, 0]]
['de.salomax.currencies_12205', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.emmanuelmess.simpleaccounting_23', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.stargw.fx_13', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['quest.faraday.tip_calculator_5', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.nishantboro.splititeasy_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.cosmos.candle_10', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['fr.corenting.convertisseureurofranc_27', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['co.localmonero.app_1393', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([41, 4, 37], [151, 134, 1, 16]), [2, 0, 1], [0, 0]]
['com.soumikshah.investmenttracker_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['ee.smkv.calc.loan_52', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.georgeyt9769.cardabase_503', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([41, 4, 37], [151, 134, 1, 16]), [2, 0, 1], [0, 0]]
