['com.maxrave.simpmusic_25', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [2, 1, 1], [0, 0]]
['de.jepfa.bdt_10202', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([41, 4, 37], [151, 134, 1, 16]), [2, 0, 1], [0, 0]]
['ch.abertschi.waterme.water_me_8', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([38, 4, 34], [143, 127, 1, 15]), [2, 0, 1], [0, 0]]
['info.metadude.android.fosdem.schedule_108', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['com.ktprograms.ohmsnow_12', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.wger.flutter_49', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([47, 9, 38], [217, 180, 1, 36]), [6, 1, 1], [0, 0]]
['protect.rentalcalc_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['se.tube42.drum.android_34', 1, [1, 1, 1, 1, 1, 0, 0, 0], 0, ([296, 133, 163], [1105, 1004, 0, 101]), [2, 2, 0], [0, 0]]
['org.dystopia.email_120', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.retujo.bierverkostung_4', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.jwz.xscreensaver_60600', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([7, 0, 7], [23, 21, 0, 2]), [1, 1, 0], [0, 0]]
['co.appreactor.news_24', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([61, 61, 0], [200, 197, 0, 3]), [1, 0, 1], [0, 0]]
['org.sipdroid.sipua_146', 1, [1, 0, 0, 1, 1, 0, 0, 0], 0, ([75, 42, 33], [291, 226, 0, 65]), [3, 3, 0], [0, 0]]
['jp.muo.syncmemories_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.sunsetware.phocid_20250130', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['com.wa2c.android.cifsdocumentsprovider_29', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['me.zhanghai.android.textselectionwebsearch_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.fr.laboussole.track_50020', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([234, 136, 98], [558, 467, 0, 91]), [19, 0, 11], [0, 0]]
['de.salomax.currencies_12205', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.gnethomelinux.midistrum_1021209', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([52, 43, 9], [146, 141, 0, 5]), [12, 2, 1], [0, 0]]
['io.treehouses.remote_6098', 1, [1, 1, 1, 1, 1, 1, 1, 0], 0, ([20, 20, 0], [46, 42, 0, 4]), [1, 1, 1], [0, 0]]
['com.spazedog.mounts2sd_33', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [2, 0]]
['org.dmfs.tasks_82200', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
