apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['de.srlabs.snoopsnitch_50', 1, [1, 1, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [12, 0, 0], [0, 0]]
['net.tjado.passwdsafe_500', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([1, 1, 0], [3, 3, 0, 0]), [1, 1, 0], [0, 0]]
['com.wesaphzt.privatelock_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['pc.javier.seguime_53', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.jbservices.nc_passwords_app_24', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([38, 4, 34], [143, 127, 1, 15]), [3, 0, 1], [0, 0]]
['com.rabbitcompany.passky_14', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.lesspass.android_900700304', 1, [0, 0, 0, 0, 1, 0, 0, 0], 0, ([233, 134, 99], [603, 506, 0, 97]), [52, 1, 14], [0, 0]]
['org.sorz.lab.tinykeepass_14', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([7, 3, 4], [35, 35, 0, 0]), [2, 2, 2], [0, 0]]
['org.daylightingsociety.wherearetheeyes_6', 1, [1, 1, 1, 1, 1, 1, 0, 0], 0, ([242, 0, 242], [448, 308, 0, 140]), [1, 0, 1], [0, 0]]
['com.vecturagames.android.app.passwordgenerator_43', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.mrbimc.selinux_20171031', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.ea.sqrl_54', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([337, 337, 0], [1069, 1069, 0, 0]), [2, 2, 0], [0, 0]]
['se.leap.bitmaskclient_176000', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([439, 335, 104], [1186, 937, 0, 249]), [6, 3, 3], [4, 0]]
['se.arctosoft.vault_37', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
