apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['bou.amine.apps.readerforselfossv2.android_125010291', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['at.finderlein.noe_2020', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([38, 4, 34], [143, 127, 1, 15]), [2, 0, 1], [0, 0]]
['godau.fynn.moodledirect_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.mirfatif.mylocation_106', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.afollestad.nocknock_30', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.keylesspalace.tusky_129', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([299, 293, 6], [980, 746, 0, 234]), [3, 1, 3], [0, 0]]
['org.asafonov.weather_10', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.hirtenstrasse.michael.lnkshortener_7', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.bombusmod_1426', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.github.shadowsocks.tv_5030450', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [3, 0, 0], [0, 0]]
['co.appreactor.news_24', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([61, 61, 0], [200, 197, 0, 3]), [1, 0, 1], [0, 0]]
['com.ubergeek42.WeechatAndroid_10900', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.softeg.slartus.forpdaplus_680', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.metager.metagerapp.fdroid_50109', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.live.gdev.timetracker_26', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.trianguloy.continuousDataUsage_28', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['io.github.chiver_211', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.idiomreplacex.browser_app_1', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([36, 5, 31], [134, 120, 1, 13]), [2, 0, 1], [0, 0]]
['com.lavabit.pahoehoe_202', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([26, 12, 14], [41, 37, 0, 4]), [5, 3, 1], [8, 0]]
['de.badaix.snapcast_2901', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [1, 0, 0], [0, 0]]
['net.ibbaa.keepitup_11', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.wivewa.android_6', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.gmail.afonsotrepa.pocketgopher_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.fsck.k9_39020', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['dev.ukanth.ufirewall_20230828', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.skyd.anivu_25', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([3666, 3658, 8], [10948, 7914, 1, 3033]), [15, 3, 1], [0, 0]]
['com.porg.gugal_24', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['org.joinmastodon.android.moshinda_108', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.mian.gitnex_700', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([51, 43, 8], [130, 121, 0, 9]), [2, 1, 2], [0, 0]]
['com.gianlu.aria2app_230', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [1, 0, 0], [0, 0]]
['org.deluge.trireme_27', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([41, 4, 37], [152, 135, 1, 16]), [2, 0, 1], [0, 0]]
['eu.faircode.netguard_2024122801', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([11, 3, 8], [30, 30, 0, 0]), [1, 1, 1], [0, 0]]
['im.fdx.v2ex_69', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.atop_1', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([203, 113, 90], [497, 413, 0, 84]), [11, 0, 5], [0, 0]]
