apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['fr.unix_experience.owncloud_sms_69', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([64, 16, 48], [97, 80, 0, 17]), [1, 1, 0], [0, 0]]
['com.ml.proximitysensorfix_32', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['me.hackerchick.raisetoanswer_33', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['fr.jnda.android.flashalert_18373967', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.ritscher.simplemobiletools.contacts.pro_108', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([112, 21, 91], [205, 77, 4, 124]), [0, 0, 0], [0, 0]]
['ca.mudar.fairphone.peaceofmind_22', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.lumicall.android_192', 1, [0, 1, 1, 1, 0, 0, 0, 0], 0, ([83, 42, 41], [314, 249, 0, 65]), [8, 8, 0], [0, 0]]
['uk.co.danieljarvis.android.flashback_16', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.sipdroid.sipua_146', 1, [1, 0, 0, 1, 1, 0, 0, 0], 0, ([75, 42, 33], [291, 226, 0, 65]), [3, 3, 0], [0, 0]]
['com.saiga.find.messagefinder_16', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.zachrattner.pockettalk_7', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
