apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['com.threedlite.urforms_14', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.android.geto_169', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [2, 1, 1], [0, 0]]
['org.gsmlg.semaphore_13', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([84, 17, 67], [228, 165, 3, 60]), [3, 0, 1], [0, 0]]
['com.nesbox.tic_10100', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([50, 42, 8], [134, 133, 0, 1]), [1, 1, 1], [0, 0]]
['org.rubenpgrady.dpcopycat_7', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.segin.ttleditor_19', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.android.adbkeyboard_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.io7m.exfilac.main_1104', 1, [1, 0, 1, 1, 1, 0, 0, 0], 0, ([61, 0, 61], [165, 146, 0, 19]), [1, 1, 1], [0, 0]]
['net.momodalo.app.vimtouch_25', 1, [0, 0, 1, 0, 0, 0, 0, 0], 0, ([24, 24, 0], [54, 50, 0, 4]), [2, 0, 1], [0, 0]]
['aws.apps.androidDrawables_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['jp.sblo.pandora.aGrep_201403', 1, [0, 1, 1, 1, 0, 1, 0, 0], 0, ([6, 6, 0], [14, 14, 0, 0]), [1, 1, 0], [0, 0]]
['net.sourceforge.x11basic_165', 1, [0, 1, 1, 1, 0, 0, 0, 0], 0, ([28, 28, 0], [67, 65, 0, 2]), [1, 1, 1], [6, 0]]
['com.trianguloy.adnihilation_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.app.openlib_12', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([184, 33, 151], [433, 278, 6, 149]), [7, 1, 1], [0, 0]]
