apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['xdsopl.robot36_64', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.simon.dankelmann.bluetoothlespam_3', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['net.mullvad.mullvadvpn_24090099', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([14, 0, 14], [44, 41, 0, 3]), [3, 1, 1], [0, 0]]
['io.github.chrisimx.scanbridge_1001000', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [1, 0, 1], [0, 0]]
['com.unprompted.tildefriends.fdroid_32', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([2, 2, 0], [7, 6, 0, 1]), [1, 0, 1], [0, 0]]
['org.savapage.android.print_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['im.status.ethereum_2024121818', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([571, 303, 268], [1379, 1226, 0, 153]), [73, 5, 22], [0, 0]]
['com.github.umer0586.sensagram_7', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([12, 0, 12], [32, 31, 0, 1]), [2, 1, 1], [0, 0]]
['ch.protonvpn.android_605082402', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([594, 189, 405], [1264, 968, 0, 296]), [14, 8, 3], [4, 0]]
['de.onyxbits.remotekeyboard_8', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['dev.spiegl.flyingcarpet_14', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
